Volume,SourcePlateBarcode,SourcePlateWell,DestinationPlateBarcode,DestinationPlateWell,ComponentName,dest_name
20.8,MastermixTrough,A2,MAON-pcr1~2,A1,mm,2_13&19_b
19.3,MastermixTrough,B2,MAON-pcr1~2,B1,mm,2_13&20_b
20.8,MastermixTrough,C2,MAON-pcr1~2,C1,mm,2_14&15_b
20.8,MastermixTrough,D2,MAON-pcr1~2,D1,mm,2_14&16_b
20.8,MastermixTrough,E2,MAON-pcr1~2,E1,mm,2_14&17_b
20.8,MastermixTrough,F2,MAON-pcr1~2,F1,mm,2_14&18_b
20.8,MastermixTrough,G2,MAON-pcr1~2,G1,mm,2_14&19_b
19.3,MastermixTrough,H2,MAON-pcr1~2,H1,mm,2_14&20_b
20.8,MastermixTrough,A2,MAON-pcr1~2,A2,mm,2_15&16_b
20.8,MastermixTrough,B2,MAON-pcr1~2,B2,mm,2_15&17_b
20.8,MastermixTrough,C2,MAON-pcr1~2,C2,mm,2_15&18_b
20.8,MastermixTrough,D2,MAON-pcr1~2,D2,mm,2_15&19_b
19.3,MastermixTrough,E2,MAON-pcr1~2,E2,mm,2_15&20_b
20.8,MastermixTrough,F2,MAON-pcr1~2,F2,mm,2_16&17_b
20.8,MastermixTrough,G2,MAON-pcr1~2,G2,mm,2_16&18_b
20.8,MastermixTrough,H2,MAON-pcr1~2,H2,mm,2_16&19_b
19.3,MastermixTrough,A2,MAON-pcr1~2,A3,mm,2_16&20_b
20.8,MastermixTrough,B2,MAON-pcr1~2,B3,mm,2_17&18_b
20.8,MastermixTrough,C2,MAON-pcr1~2,C3,mm,2_17&19_b
19.3,MastermixTrough,D2,MAON-pcr1~2,D3,mm,2_17&20_b
20.8,MastermixTrough,E2,MAON-pcr1~2,E3,mm,2_18&19_b
19.3,MastermixTrough,F2,MAON-pcr1~2,F3,mm,2_18&20_b
19.3,MastermixTrough,G2,MAON-pcr1~2,G3,mm,2_19&20_b
19.3,MastermixTrough,H2,MAON-pcr1~2,H3,mm,3_21&22_b
19.3,MastermixTrough,A2,MAON-pcr1~2,A4,mm,3_21&23_b
19.3,MastermixTrough,B2,MAON-pcr1~2,B4,mm,3_21&24_b
19.3,MastermixTrough,C2,MAON-pcr1~2,C4,mm,3_21&25_b
19.3,MastermixTrough,D2,MAON-pcr1~2,D4,mm,3_21&26_b
20.8,MastermixTrough,E2,MAON-pcr1~2,E4,mm,3_22&23_b
20.8,MastermixTrough,F2,MAON-pcr1~2,F4,mm,3_22&24_b
20.8,MastermixTrough,G2,MAON-pcr1~2,G4,mm,3_22&25_b
20.8,MastermixTrough,H2,MAON-pcr1~2,H4,mm,3_22&26_b
20.8,MastermixTrough,A2,MAON-pcr1~2,A5,mm,3_23&24_b
20.8,MastermixTrough,B2,MAON-pcr1~2,B5,mm,3_23&25_b
20.8,MastermixTrough,C2,MAON-pcr1~2,C5,mm,3_23&26_b
20.8,MastermixTrough,D2,MAON-pcr1~2,D5,mm,3_24&25_b
20.8,MastermixTrough,E2,MAON-pcr1~2,E5,mm,3_24&26_b
20.8,MastermixTrough,F2,MAON-pcr1~2,F5,mm,3_25&26_b
1.2,MAON-templ~2,A1,MAON-pcr1~2,A1,2_13&19_ib,2_13&19_b
3.0,MAON-mut-pl,D3,MAON-pcr1~2,B1,20m,2_13&20_b
1.2,MAON-templ~2,C1,MAON-pcr1~2,C1,2_14&15_ib,2_14&15_b
1.2,MAON-templ~2,D1,MAON-pcr1~2,D1,2_14&16_ib,2_14&16_b
1.2,MAON-templ~2,E1,MAON-pcr1~2,E1,2_14&17_ib,2_14&17_b
1.2,MAON-templ~2,F1,MAON-pcr1~2,F1,2_14&18_ib,2_14&18_b
1.2,MAON-templ~2,G1,MAON-pcr1~2,G1,2_14&19_ib,2_14&19_b
3.0,MAON-mut-pl,D3,MAON-pcr1~2,H1,20m,2_14&20_b
1.2,MAON-templ~2,A2,MAON-pcr1~2,A2,2_15&16_ib,2_15&16_b
1.2,MAON-templ~2,B2,MAON-pcr1~2,B2,2_15&17_ib,2_15&17_b
1.2,MAON-templ~2,C2,MAON-pcr1~2,C2,2_15&18_ib,2_15&18_b
1.2,MAON-templ~2,D2,MAON-pcr1~2,D2,2_15&19_ib,2_15&19_b
3.0,MAON-mut-pl,D3,MAON-pcr1~2,E2,20m,2_15&20_b
1.2,MAON-templ~2,F2,MAON-pcr1~2,F2,2_16&17_ib,2_16&17_b
1.2,MAON-templ~2,G2,MAON-pcr1~2,G2,2_16&18_ib,2_16&18_b
1.2,MAON-templ~2,H2,MAON-pcr1~2,H2,2_16&19_ib,2_16&19_b
3.0,MAON-mut-pl,D3,MAON-pcr1~2,A3,20m,2_16&20_b
1.2,MAON-templ~2,B3,MAON-pcr1~2,B3,2_17&18_ib,2_17&18_b
1.2,MAON-templ~2,C3,MAON-pcr1~2,C3,2_17&19_ib,2_17&19_b
3.0,MAON-mut-pl,D3,MAON-pcr1~2,D3,20m,2_17&20_b
1.2,MAON-templ~2,E3,MAON-pcr1~2,E3,2_18&19_ib,2_18&19_b
3.0,MAON-mut-pl,D3,MAON-pcr1~2,F3,20m,2_18&20_b
3.0,MAON-mut-pl,D3,MAON-pcr1~2,G3,20m,2_19&20_b
3.0,MAON-mut-pl,E3,MAON-pcr1~2,H3,21m,3_21&22_b
3.0,MAON-mut-pl,E3,MAON-pcr1~2,A4,21m,3_21&23_b
3.0,MAON-mut-pl,E3,MAON-pcr1~2,B4,21m,3_21&24_b
3.0,MAON-mut-pl,E3,MAON-pcr1~2,C4,21m,3_21&25_b
3.0,MAON-mut-pl,E3,MAON-pcr1~2,D4,21m,3_21&26_b
1.2,MAON-templ~2,E4,MAON-pcr1~2,E4,3_22&23_ib,3_22&23_b
1.2,MAON-templ~2,F4,MAON-pcr1~2,F4,3_22&24_ib,3_22&24_b
1.2,MAON-templ~2,G4,MAON-pcr1~2,G4,3_22&25_ib,3_22&25_b
1.2,MAON-templ~2,H4,MAON-pcr1~2,H4,3_22&26_ib,3_22&26_b
1.2,MAON-templ~2,A5,MAON-pcr1~2,A5,3_23&24_ib,3_23&24_b
1.2,MAON-templ~2,B5,MAON-pcr1~2,B5,3_23&25_ib,3_23&25_b
1.2,MAON-templ~2,C5,MAON-pcr1~2,C5,3_23&26_ib,3_23&26_b
1.2,MAON-templ~2,D5,MAON-pcr1~2,D5,3_24&25_ib,3_24&25_b
1.2,MAON-templ~2,E5,MAON-pcr1~2,E5,3_24&26_ib,3_24&26_b
1.2,MAON-templ~2,F5,MAON-pcr1~2,F5,3_25&26_ib,3_25&26_b
1.5,MAON-wt-dil,C2,MAON-pcr1~2,A1,11_dil,2_13&19_b
1.2,MAON-templ~2,B1,MAON-pcr1~2,B1,2_13&20_ib,2_13&20_b
