src_plate,src_well,src_name,total_volume,dest_plate
MAON-mut-pl,A1,1m,30.0,
MAON-mut-pl,B2,10m,30.0,
MAON-mut-pl,C2,11m,30.0,
MAON-mut-pl,D3,20m,30.0,
MAON-mut-pl,E3,21m,18.0,
MAON-templ,A1,1_wt_ib,1.2,
MAON-templ,A10,1_8&10_ib,1.2,
MAON-templ,A11,2_11&18_ib,1.2,
MAON-templ,A12,2_12&18_ib,1.2,
MAON-templ,A2,1_6_ib,1.2,
MAON-templ,A3,2_14_ib,1.2,
MAON-templ,A4,3_22_ib,1.2,
MAON-templ,A5,1_1&5_ib,1.2,
MAON-templ,A6,1_2&5_ib,1.2,
MAON-templ,A7,1_3&6_ib,1.2,
MAON-templ,A8,1_4&8_ib,1.2,
MAON-templ,A9,1_6&7_ib,1.2,
MAON-templ,B1,2_wt_ib,1.2,
MAON-templ,B10,1_9&10_ib,1.2,
MAON-templ,B11,2_11&19_ib,1.2,
MAON-templ,B12,2_12&19_ib,1.2,
MAON-templ,B2,1_7_ib,1.2,
MAON-templ,B3,2_15_ib,1.2,
MAON-templ,B4,3_23_ib,1.2,
MAON-templ,B5,1_1&6_ib,1.2,
MAON-templ,B6,1_2&6_ib,1.2,
MAON-templ,B7,1_3&7_ib,1.2,
MAON-templ,B8,1_4&9_ib,1.2,
MAON-templ,B9,1_6&8_ib,1.2,
MAON-templ,C1,3_wt_ib,1.2,
MAON-templ,C10,2_11&12_ib,1.2,
MAON-templ,C11,2_11&20_ib,1.2,
MAON-templ,C12,2_12&20_ib,1.2,
MAON-templ,C2,1_8_ib,1.2,
MAON-templ,C3,2_16_ib,1.2,
MAON-templ,C4,3_24_ib,1.2,
MAON-templ,C5,1_1&7_ib,1.2,
MAON-templ,C6,1_2&7_ib,1.2,
MAON-templ,C7,1_3&8_ib,1.2,
MAON-templ,C8,1_4&10_ib,1.2,
MAON-templ,C9,1_6&9_ib,1.2,
MAON-templ,D1,1_1_ib,1.2,
MAON-templ,D10,2_11&13_ib,1.2,
MAON-templ,D11,2_12&13_ib,1.2,
MAON-templ,D12,2_13&14_ib,1.2,
MAON-templ,D2,1_9_ib,1.2,
MAON-templ,D3,2_17_ib,1.2,
MAON-templ,D4,3_25_ib,1.2,
MAON-templ,D5,1_1&8_ib,1.2,
MAON-templ,D6,1_2&8_ib,1.2,
MAON-templ,D7,1_3&9_ib,1.2,
MAON-templ,D8,1_5&6_ib,1.2,
MAON-templ,D9,1_6&10_ib,1.2,
MAON-templ,E1,1_2_ib,1.2,
MAON-templ,E10,2_11&14_ib,1.2,
MAON-templ,E11,2_12&14_ib,1.2,
MAON-templ,E12,2_13&15_ib,1.2,
MAON-templ,E2,1_10_ib,1.2,
MAON-templ,E3,2_18_ib,1.2,
MAON-templ,E4,3_26_ib,1.2,
MAON-templ,E5,1_1&9_ib,1.2,
MAON-templ,E6,1_2&9_ib,1.2,
MAON-templ,E7,1_3&10_ib,1.2,
MAON-templ,E8,1_5&7_ib,1.2,
MAON-templ,E9,1_7&8_ib,1.2,
MAON-templ,F1,1_3_ib,1.2,
MAON-templ,F10,2_11&15_ib,1.2,
MAON-templ,F11,2_12&15_ib,1.2,
MAON-templ,F12,2_13&16_ib,1.2,
MAON-templ,F2,2_11_ib,1.2,
MAON-templ,F3,2_19_ib,1.2,
MAON-templ,F4,1_1&2_ib,1.2,
MAON-templ,F5,1_1&10_ib,1.2,
MAON-templ,F6,1_2&10_ib,1.2,
MAON-templ,F7,1_4&5_ib,1.2,
MAON-templ,F8,1_5&8_ib,1.2,
MAON-templ,F9,1_7&9_ib,1.2,
MAON-templ,G1,1_4_ib,1.2,
MAON-templ,G10,2_11&16_ib,1.2,
MAON-templ,G11,2_12&16_ib,1.2,
MAON-templ,G12,2_13&17_ib,1.2,
MAON-templ,G2,2_12_ib,1.2,
MAON-templ,G3,2_20_ib,1.2,
MAON-templ,G4,1_1&3_ib,1.2,
MAON-templ,G5,1_2&3_ib,1.2,
MAON-templ,G6,1_3&4_ib,1.2,
MAON-templ,G7,1_4&6_ib,1.2,
MAON-templ,G8,1_5&9_ib,1.2,
MAON-templ,G9,1_7&10_ib,1.2,
MAON-templ,H1,1_5_ib,1.2,
MAON-templ,H10,2_11&17_ib,1.2,
MAON-templ,H11,2_12&17_ib,1.2,
MAON-templ,H12,2_13&18_ib,1.2,
MAON-templ,H2,2_13_ib,1.2,
MAON-templ,H3,3_21_ib,1.2,
MAON-templ,H4,1_1&4_ib,1.2,
MAON-templ,H5,1_2&4_ib,1.2,
MAON-templ,H6,1_3&5_ib,1.2,
MAON-templ,H7,1_4&7_ib,1.2,
MAON-templ,H8,1_5&10_ib,1.2,
MAON-templ,H9,1_8&9_ib,1.2,
MAON-wt-dil,A1,1_dil,69.0,
MAON-wt-dil,B2,10_dil,69.0,
MAON-wt-dil,C2,11_dil,69.0,
MAON-wt-dil,D3,20_dil,69.0,
MAON-wt-dil,D4,28_dil,33.0,
MAON-wt-dil,E3,21_dil,24.0,
reagents,A2,mm,346.1,
reagents,B2,mm,346.1,
reagents,C2,mm,343.1,
reagents,D2,mm,344.6,
reagents,E2,mm,346.1,
reagents,F2,mm,343.1,
reagents,G2,mm,325.30000000000007,
reagents,H2,mm,323.80000000000007,
MAON-templ~2,A1,2_13&19_ib,1.2,
MAON-templ~2,A2,2_15&16_ib,1.2,
MAON-templ~2,A3,2_16&20_ib,1.2,
MAON-templ~2,A4,3_21&23_ib,1.2,
MAON-templ~2,A5,3_23&24_ib,1.2,
MAON-templ~2,B1,2_13&20_ib,1.2,
MAON-templ~2,B2,2_15&17_ib,1.2,
MAON-templ~2,B3,2_17&18_ib,1.2,
MAON-templ~2,B4,3_21&24_ib,1.2,
MAON-templ~2,B5,3_23&25_ib,1.2,
MAON-templ~2,C1,2_14&15_ib,1.2,
MAON-templ~2,C2,2_15&18_ib,1.2,
MAON-templ~2,C3,2_17&19_ib,1.2,
MAON-templ~2,C4,3_21&25_ib,1.2,
MAON-templ~2,C5,3_23&26_ib,1.2,
MAON-templ~2,D1,2_14&16_ib,1.2,
MAON-templ~2,D2,2_15&19_ib,1.2,
MAON-templ~2,D3,2_17&20_ib,1.2,
MAON-templ~2,D4,3_21&26_ib,1.2,
MAON-templ~2,D5,3_24&25_ib,1.2,
MAON-templ~2,E1,2_14&17_ib,1.2,
MAON-templ~2,E2,2_15&20_ib,1.2,
MAON-templ~2,E3,2_18&19_ib,1.2,
MAON-templ~2,E4,3_22&23_ib,1.2,
MAON-templ~2,E5,3_24&26_ib,1.2,
MAON-templ~2,F1,2_14&18_ib,1.2,
MAON-templ~2,F2,2_16&17_ib,1.2,
MAON-templ~2,F3,2_18&20_ib,1.2,
MAON-templ~2,F4,3_22&24_ib,1.2,
MAON-templ~2,F5,3_25&26_ib,1.2,
MAON-templ~2,G1,2_14&19_ib,1.2,
MAON-templ~2,G2,2_16&18_ib,1.2,
