Volume,SourcePlateBarcode,SourcePlateWell,DestinationPlateBarcode,DestinationPlateWell,ComponentName,dest_name
10,mut,A1,MAON-mut-pl,A1,1_1,1m
10,mut,B1,MAON-mut-pl,B1,2_1,2m
10,mut,B6,MAON-mut-pl,C1,3_1,3m
10,mut,C1,MAON-mut-pl,D1,4_7,4m
10,mut,C9,MAON-mut-pl,E1,5_1,5m
10,mut,D1,MAON-mut-pl,F1,6_3,6m
10,mut,D11,MAON-mut-pl,G1,7_1,7m
10,mut,E1,MAON-mut-pl,H1,8_5,8m
10,mut,E10,MAON-mut-pl,A2,9_1,9m
10,mut,F1,MAON-mut-pl,B2,10_4,10m
10,mut,F11,MAON-mut-pl,C2,11_1,11m
10,mut,G1,MAON-mut-pl,D2,12_4,12m
10,mut,G11,MAON-mut-pl,E2,13_1,13m
10,mut,H1,MAON-mut-pl,F2,14_3,14m
10,mut,I1,MAON-mut-pl,G2,15_13,15m
10,mut,I3,MAON-mut-pl,H2,16_1,16m
10,mut,J1,MAON-mut-pl,A3,17_1,17m
10,mut,J3,MAON-mut-pl,B3,18_1,18m
10,mut,K1,MAON-mut-pl,C3,19_9,19m
10,mut,K4,MAON-mut-pl,D3,20_1,20m
10,mut,L1,MAON-mut-pl,E3,21_12,21m
10,mut,L4,MAON-mut-pl,F3,22_1,22m
10,mut,M1,MAON-mut-pl,G3,23_8,23m
10,mut,M7,MAON-mut-pl,H3,24_1,24m
10,mut,N1,MAON-mut-pl,A4,25_5,25m
10,mut,N10,MAON-mut-pl,B4,26_1,26m
10,mut,A1,MAON-mut-pl,A1,1_1,1m
10,mut,B1,MAON-mut-pl,B1,2_1,2m
10,mut,B6,MAON-mut-pl,C1,3_1,3m
10,mut,C2,MAON-mut-pl,D1,4_8,4m
10,mut,C9,MAON-mut-pl,E1,5_1,5m
10,mut,D2,MAON-mut-pl,F1,6_4,6m
10,mut,D11,MAON-mut-pl,G1,7_1,7m
10,mut,E2,MAON-mut-pl,H1,8_6,8m
10,mut,E10,MAON-mut-pl,A2,9_1,9m
10,mut,F2,MAON-mut-pl,B2,10_5,10m
10,mut,F11,MAON-mut-pl,C2,11_1,11m
