src_plate,src_well,src_name,total_volume,dest_plate
mut,J22,19_6,10.0,
mut,J23,19_7,10.0,
mut,J24,19_8,10.0,
mut,J3,18_1,20.0,
mut,J4,18_2,10.0,
mut,J5,18_3,10.0,
mut,J6,18_4,10.0,
mut,J7,18_5,10.0,
mut,J8,18_6,10.0,
mut,J9,18_7,10.0,
mut,K1,19_9,10.0,
mut,K10,20_7,10.0,
mut,K11,20_8,10.0,
mut,K12,20_9,10.0,
mut,K14,21_1,20.0,
mut,K15,21_2,10.0,
mut,K16,21_3,10.0,
mut,K17,21_4,10.0,
mut,K18,21_5,10.0,
mut,K19,21_6,10.0,
mut,K2,19_1,20.0,
mut,K20,21_7,10.0,
mut,K21,21_8,10.0,
mut,K22,21_9,10.0,
mut,K24,21_11,10.0,
mut,K3,19_11,10.0,
mut,K4,20_1,20.0,
mut,K5,20_2,10.0,
mut,K6,20_3,10.0,
mut,K7,20_4,10.0,
mut,K8,20_5,10.0,
mut,K9,20_6,10.0,
mut,L1,21_12,10.0,
mut,L10,22_7,10.0,
mut,L11,22_8,10.0,
mut,L12,22_9,10.0,
mut,L14,22_11,10.0,
mut,L15,22_12,10.0,
mut,L16,22_13,10.0,
mut,L17,22_14,10.0,
mut,L19,23_2,10.0,
mut,L2,21_13,10.0,
mut,L20,23_3,10.0,
mut,L21,23_4,10.0,
mut,L22,23_5,10.0,
mut,L23,23_6,10.0,
mut,L24,23_7,10.0,
mut,L3,21_14,10.0,
mut,L4,22_1,20.0,
mut,L5,22_2,10.0,
mut,L6,22_3,10.0,
mut,L7,22_4,10.0,
mut,L8,22_5,10.0,
mut,L9,22_6,10.0,
mut,M1,23_8,10.0,
mut,M10,24_4,10.0,
mut,M11,24_5,10.0,
mut,M12,24_6,10.0,
mut,M13,24_7,10.0,
mut,M14,24_8,10.0,
mut,M15,24_9,10.0,
mut,M17,24_11,10.0,
mut,M18,24_12,10.0,
mut,M19,24_13,10.0,
mut,M2,23_9,10.0,
mut,M20,24_14,10.0,
mut,M22,25_2,10.0,
mut,M23,25_3,10.0,
mut,M24,25_4,10.0,
mut,M3,23_1,20.0,
mut,M4,23_11,10.0,
mut,M5,23_12,10.0,
mut,M6,23_13,10.0,
mut,M7,24_1,20.0,
mut,M8,24_2,10.0,
mut,M9,24_3,10.0,
mut,N1,25_5,10.0,
mut,N10,26_1,20.0,
mut,N11,26_2,10.0,
mut,N12,26_3,10.0,
mut,N13,26_4,10.0,
mut,N14,26_5,10.0,
mut,N15,26_6,10.0,
mut,N16,26_7,10.0,
mut,N17,26_8,10.0,
mut,N18,26_9,10.0,
mut,N2,25_6,10.0,
mut,N20,26_11,10.0,
mut,N21,26_12,10.0,
mut,N22,26_13,10.0,
mut,N23,26_14,10.0,
mut,N3,25_7,10.0,
mut,N4,25_8,10.0,
mut,N5,25_9,10.0,
mut,N6,25_1,20.0,
mut,N7,25_11,10.0,
mut,N8,25_12,10.0,
mut,N9,25_13,10.0,
,,,,MAON-mut-pl
