Volume,SourcePlateBarcode,SourcePlateWell,DestinationPlateBarcode,DestinationPlateWell,ComponentName,dest_name
5.0,MAON-mut-pl,E2,MAON-templ~2,A1,13m,2_13&19_ib
5.0,MAON-mut-pl,E2,MAON-templ~2,B1,13m,2_13&20_ib
5.0,MAON-mut-pl,F2,MAON-templ~2,C1,14m,2_14&15_ib
5.0,MAON-mut-pl,F2,MAON-templ~2,D1,14m,2_14&16_ib
5.0,MAON-mut-pl,F2,MAON-templ~2,E1,14m,2_14&17_ib
5.0,MAON-mut-pl,F2,MAON-templ~2,F1,14m,2_14&18_ib
5.0,MAON-mut-pl,F2,MAON-templ~2,G1,14m,2_14&19_ib
5.0,MAON-mut-pl,F2,MAON-templ~2,H1,14m,2_14&20_ib
5.0,MAON-mut-pl,G2,MAON-templ~2,A2,15m,2_15&16_ib
5.0,MAON-mut-pl,G2,MAON-templ~2,B2,15m,2_15&17_ib
5.0,MAON-mut-pl,G2,MAON-templ~2,C2,15m,2_15&18_ib
5.0,MAON-mut-pl,G2,MAON-templ~2,D2,15m,2_15&19_ib
5.0,MAON-mut-pl,G2,MAON-templ~2,E2,15m,2_15&20_ib
5.0,MAON-mut-pl,H2,MAON-templ~2,F2,16m,2_16&17_ib
5.0,MAON-mut-pl,H2,MAON-templ~2,G2,16m,2_16&18_ib
5.0,MAON-mut-pl,H2,MAON-templ~2,H2,16m,2_16&19_ib
5.0,MAON-mut-pl,H2,MAON-templ~2,A3,16m,2_16&20_ib
5.0,MAON-mut-pl,A3,MAON-templ~2,B3,17m,2_17&18_ib
5.0,MAON-mut-pl,A3,MAON-templ~2,C3,17m,2_17&19_ib
5.0,MAON-mut-pl,A3,MAON-templ~2,D3,17m,2_17&20_ib
5.0,MAON-mut-pl,B3,MAON-templ~2,E3,18m,2_18&19_ib
5.0,MAON-mut-pl,B3,MAON-templ~2,F3,18m,2_18&20_ib
5.0,MAON-mut-pl,C3,MAON-templ~2,G3,19m,2_19&20_ib
5.0,MAON-mut-pl,F3,MAON-templ~2,H3,22m,3_21&22_ib
5.0,MAON-mut-pl,G3,MAON-templ~2,A4,23m,3_21&23_ib
5.0,MAON-mut-pl,H3,MAON-templ~2,B4,24m,3_21&24_ib
5.0,MAON-mut-pl,A4,MAON-templ~2,C4,25m,3_21&25_ib
5.0,MAON-mut-pl,B4,MAON-templ~2,D4,26m,3_21&26_ib
5.0,MAON-mut-pl,F3,MAON-templ~2,E4,22m,3_22&23_ib
5.0,MAON-mut-pl,F3,MAON-templ~2,F4,22m,3_22&24_ib
5.0,MAON-mut-pl,F3,MAON-templ~2,G4,22m,3_22&25_ib
5.0,MAON-mut-pl,F3,MAON-templ~2,H4,22m,3_22&26_ib
5.0,MAON-mut-pl,G3,MAON-templ~2,A5,23m,3_23&24_ib
5.0,MAON-mut-pl,G3,MAON-templ~2,B5,23m,3_23&25_ib
5.0,MAON-mut-pl,G3,MAON-templ~2,C5,23m,3_23&26_ib
5.0,MAON-mut-pl,H3,MAON-templ~2,D5,24m,3_24&25_ib
5.0,MAON-mut-pl,H3,MAON-templ~2,E5,24m,3_24&26_ib
5.0,MAON-mut-pl,A4,MAON-templ~2,F5,25m,3_25&26_ib
5.0,MAON-mut-pl,C3,MAON-templ~2,A1,19m,2_13&19_ib
2.5,MAON-wt-dil,D2,MAON-templ~2,B1,12_dil,2_13&20_ib
5.0,MAON-mut-pl,G2,MAON-templ~2,C1,15m,2_14&15_ib
5.0,MAON-mut-pl,H2,MAON-templ~2,D1,16m,2_14&16_ib
5.0,MAON-mut-pl,A3,MAON-templ~2,E1,17m,2_14&17_ib
5.0,MAON-mut-pl,B3,MAON-templ~2,F1,18m,2_14&18_ib
5.0,MAON-mut-pl,C3,MAON-templ~2,G1,19m,2_14&19_ib
2.5,MAON-wt-dil,D2,MAON-templ~2,H1,12_dil,2_14&20_ib
5.0,MAON-mut-pl,H2,MAON-templ~2,A2,16m,2_15&16_ib
5.0,MAON-mut-pl,A3,MAON-templ~2,B2,17m,2_15&17_ib
5.0,MAON-mut-pl,B3,MAON-templ~2,C2,18m,2_15&18_ib
5.0,MAON-mut-pl,C3,MAON-templ~2,D2,19m,2_15&19_ib
2.5,MAON-wt-dil,D2,MAON-templ~2,E2,12_dil,2_15&20_ib
5.0,MAON-mut-pl,A3,MAON-templ~2,F2,17m,2_16&17_ib
5.0,MAON-mut-pl,B3,MAON-templ~2,G2,18m,2_16&18_ib
5.0,MAON-mut-pl,C3,MAON-templ~2,H2,19m,2_16&19_ib
2.5,MAON-wt-dil,D2,MAON-templ~2,A3,12_dil,2_16&20_ib
5.0,MAON-mut-pl,B3,MAON-templ~2,B3,18m,2_17&18_ib
5.0,MAON-mut-pl,C3,MAON-templ~2,C3,19m,2_17&19_ib
2.5,MAON-wt-dil,D2,MAON-templ~2,D3,12_dil,2_17&20_ib
5.0,MAON-mut-pl,C3,MAON-templ~2,E3,19m,2_18&19_ib
2.5,MAON-wt-dil,D2,MAON-templ~2,F3,12_dil,2_18&20_ib
2.5,MAON-wt-dil,D2,MAON-templ~2,G3,12_dil,2_19&20_ib
2.5,MAON-wt-dil,G3,MAON-templ~2,H3,23_dil,3_21&22_ib
2.5,MAON-wt-dil,F3,MAON-templ~2,A4,22_dil,3_21&23_ib
2.5,MAON-wt-dil,F3,MAON-templ~2,B4,22_dil,3_21&24_ib
2.5,MAON-wt-dil,F3,MAON-templ~2,C4,22_dil,3_21&25_ib
2.5,MAON-wt-dil,F3,MAON-templ~2,D4,22_dil,3_21&26_ib
5.0,MAON-mut-pl,G3,MAON-templ~2,E4,23m,3_22&23_ib
5.0,MAON-mut-pl,H3,MAON-templ~2,F4,24m,3_22&24_ib
5.0,MAON-mut-pl,A4,MAON-templ~2,G4,25m,3_22&25_ib
5.0,MAON-mut-pl,B4,MAON-templ~2,H4,26m,3_22&26_ib
5.0,MAON-mut-pl,H3,MAON-templ~2,A5,24m,3_23&24_ib
5.0,MAON-mut-pl,A4,MAON-templ~2,B5,25m,3_23&25_ib
5.0,MAON-mut-pl,B4,MAON-templ~2,C5,26m,3_23&26_ib
5.0,MAON-mut-pl,A4,MAON-templ~2,D5,25m,3_24&25_ib
5.0,MAON-mut-pl,B4,MAON-templ~2,E5,26m,3_24&26_ib
5.0,MAON-mut-pl,B4,MAON-templ~2,F5,26m,3_25&26_ib
2.5,MAON-wt-dil,D2,MAON-templ~2,A1,12_dil,2_13&19_ib
2.5,MAON-wt-dil,F2,MAON-templ~2,B1,14_dil,2_13&20_ib
2.5,MAON-wt-dil,D2,MAON-templ~2,C1,12_dil,2_14&15_ib
2.5,MAON-wt-dil,D2,MAON-templ~2,D1,12_dil,2_14&16_ib
2.5,MAON-wt-dil,D2,MAON-templ~2,E1,12_dil,2_14&17_ib
2.5,MAON-wt-dil,D2,MAON-templ~2,F1,12_dil,2_14&18_ib
2.5,MAON-wt-dil,D2,MAON-templ~2,G1,12_dil,2_14&19_ib
2.5,MAON-wt-dil,E2,MAON-templ~2,H1,13_dil,2_14&20_ib
2.5,MAON-wt-dil,D2,MAON-templ~2,A2,12_dil,2_15&16_ib
2.5,MAON-wt-dil,D2,MAON-templ~2,B2,12_dil,2_15&17_ib
2.5,MAON-wt-dil,D2,MAON-templ~2,C2,12_dil,2_15&18_ib
2.5,MAON-wt-dil,D2,MAON-templ~2,D2,12_dil,2_15&19_ib
2.5,MAON-wt-dil,E2,MAON-templ~2,E2,13_dil,2_15&20_ib
2.5,MAON-wt-dil,D2,MAON-templ~2,F2,12_dil,2_16&17_ib
2.5,MAON-wt-dil,D2,MAON-templ~2,G2,12_dil,2_16&18_ib
2.5,MAON-wt-dil,D2,MAON-templ~2,H2,12_dil,2_16&19_ib
2.5,MAON-wt-dil,E2,MAON-templ~2,A3,13_dil,2_16&20_ib
2.5,MAON-wt-dil,D2,MAON-templ~2,B3,12_dil,2_17&18_ib
2.5,MAON-wt-dil,D2,MAON-templ~2,C3,12_dil,2_17&19_ib
2.5,MAON-wt-dil,E2,MAON-templ~2,D3,13_dil,2_17&20_ib
2.5,MAON-wt-dil,D2,MAON-templ~2,E3,12_dil,2_18&19_ib
2.5,MAON-wt-dil,E2,MAON-templ~2,F3,13_dil,2_18&20_ib
