src_plate,src_well,src_name,total_volume,dest_plate
MAON-mut-pl,A2,9m,50.0,
MAON-mut-pl,A3,17m,50.0,
MAON-mut-pl,A4,25m,30.0,
MAON-mut-pl,B1,2m,50.0,
MAON-mut-pl,B3,18m,50.0,
MAON-mut-pl,B4,26m,30.0,
MAON-mut-pl,C1,3m,50.0,
MAON-mut-pl,C3,19m,50.0,
MAON-mut-pl,D1,4m,50.0,
MAON-mut-pl,D2,12m,50.0,
MAON-mut-pl,E1,5m,50.0,
MAON-mut-pl,E2,13m,50.0,
MAON-mut-pl,F1,6m,50.0,
MAON-mut-pl,F2,14m,50.0,
MAON-mut-pl,F3,22m,30.0,
MAON-mut-pl,G1,7m,50.0,
MAON-mut-pl,G2,15m,50.0,
MAON-mut-pl,G3,23m,30.0,
MAON-mut-pl,H1,8m,50.0,
MAON-mut-pl,H2,16m,50.0,
MAON-mut-pl,H3,24m,30.0,
MAON-wt-dil,A2,9_dil,115.0,
MAON-wt-dil,A3,17_dil,115.0,
MAON-wt-dil,A4,25_dil,40.0,
MAON-wt-dil,B1,2_dil,115.0,
MAON-wt-dil,B3,18_dil,115.0,
MAON-wt-dil,B4,26_dil,40.0,
MAON-wt-dil,C1,3_dil,115.0,
MAON-wt-dil,C3,19_dil,115.0,
MAON-wt-dil,C4,27_dil,55.0,
MAON-wt-dil,D1,4_dil,115.0,
MAON-wt-dil,D2,12_dil,115.0,
MAON-wt-dil,E1,5_dil,115.0,
MAON-wt-dil,E2,13_dil,115.0,
MAON-wt-dil,F1,6_dil,115.0,
MAON-wt-dil,F2,14_dil,115.0,
MAON-wt-dil,F3,22_dil,40.0,
MAON-wt-dil,G1,7_dil,115.0,
MAON-wt-dil,G2,15_dil,115.0,
MAON-wt-dil,G3,23_dil,40.0,
MAON-wt-dil,H1,8_dil,115.0,
MAON-wt-dil,H2,16_dil,115.0,
MAON-wt-dil,H3,24_dil,40.0,
,,,,MAON-templ~2
,,,,MAON-templ
