src_plate,src_well,src_name,total_volume,dest_plate
reagents,A1,water,720.0,
reagents,B1,water,720.0,
reagents,C1,water,720.0,
reagents,D1,water,720.0,
reagents,E1,water,720.0,
reagents,F1,water,540.0,
reagents,G1,water,540.0,
reagents,H1,water,540.0,
wt,A1,1,20.0,
wt,A10,10,20.0,
wt,A11,11,20.0,
wt,A12,12,20.0,
wt,A2,2,20.0,
wt,A3,3,20.0,
wt,A4,4,20.0,
wt,A5,5,20.0,
wt,A6,6,20.0,
wt,A7,7,20.0,
wt,A8,8,20.0,
wt,A9,9,20.0,
wt,B1,13,20.0,
wt,B10,22,20.0,
wt,B11,23,20.0,
wt,B12,24,20.0,
wt,B2,14,20.0,
wt,B3,15,20.0,
wt,B4,16,20.0,
wt,B5,17,20.0,
wt,B6,18,20.0,
wt,B7,19,20.0,
wt,B8,20,20.0,
wt,B9,21,20.0,
wt,C1,25,20.0,
wt,C2,26,20.0,
wt,C3,27,20.0,
wt,C4,28,20.0,
wt,C5,5-primer,20.0,
,,,,MAON-wt-dil
