Volume,SourcePlateBarcode,SourcePlateWell,DestinationPlateBarcode,DestinationPlateWell,ComponentName,dest_name
180,MastermixTrough,A1,MAON-wt-dil,A1,water,1_dil
180,MastermixTrough,B1,MAON-wt-dil,B1,water,2_dil
180,MastermixTrough,C1,MAON-wt-dil,C1,water,3_dil
180,MastermixTrough,D1,MAON-wt-dil,D1,water,4_dil
180,MastermixTrough,E1,MAON-wt-dil,E1,water,5_dil
180,MastermixTrough,F1,MAON-wt-dil,F1,water,6_dil
180,MastermixTrough,G1,MAON-wt-dil,G1,water,7_dil
180,MastermixTrough,H1,MAON-wt-dil,H1,water,8_dil
180,MastermixTrough,A1,MAON-wt-dil,A2,water,9_dil
180,MastermixTrough,B1,MAON-wt-dil,B2,water,10_dil
180,MastermixTrough,C1,MAON-wt-dil,C2,water,11_dil
180,MastermixTrough,D1,MAON-wt-dil,D2,water,12_dil
180,MastermixTrough,E1,MAON-wt-dil,E2,water,13_dil
180,MastermixTrough,F1,MAON-wt-dil,F2,water,14_dil
180,MastermixTrough,G1,MAON-wt-dil,G2,water,15_dil
180,MastermixTrough,H1,MAON-wt-dil,H2,water,16_dil
180,MastermixTrough,A1,MAON-wt-dil,A3,water,17_dil
180,MastermixTrough,B1,MAON-wt-dil,B3,water,18_dil
180,MastermixTrough,C1,MAON-wt-dil,C3,water,19_dil
180,MastermixTrough,D1,MAON-wt-dil,D3,water,20_dil
180,MastermixTrough,E1,MAON-wt-dil,E3,water,21_dil
180,MastermixTrough,F1,MAON-wt-dil,F3,water,22_dil
180,MastermixTrough,G1,MAON-wt-dil,G3,water,23_dil
180,MastermixTrough,H1,MAON-wt-dil,H3,water,24_dil
180,MastermixTrough,A1,MAON-wt-dil,A4,water,25_dil
180,MastermixTrough,B1,MAON-wt-dil,B4,water,26_dil
180,MastermixTrough,C1,MAON-wt-dil,C4,water,27_dil
180,MastermixTrough,D1,MAON-wt-dil,D4,water,28_dil
180,MastermixTrough,E1,MAON-wt-dil,E4,water,5-primer_dil
20,wt,A1,MAON-wt-dil,A1,1,1_dil
20,wt,A2,MAON-wt-dil,B1,2,2_dil
20,wt,A3,MAON-wt-dil,C1,3,3_dil
20,wt,A4,MAON-wt-dil,D1,4,4_dil
20,wt,A5,MAON-wt-dil,E1,5,5_dil
20,wt,A6,MAON-wt-dil,F1,6,6_dil
20,wt,A7,MAON-wt-dil,G1,7,7_dil
20,wt,A8,MAON-wt-dil,H1,8,8_dil
20,wt,A9,MAON-wt-dil,A2,9,9_dil
20,wt,A10,MAON-wt-dil,B2,10,10_dil
20,wt,A11,MAON-wt-dil,C2,11,11_dil
20,wt,A12,MAON-wt-dil,D2,12,12_dil
20,wt,B1,MAON-wt-dil,E2,13,13_dil
20,wt,B2,MAON-wt-dil,F2,14,14_dil
20,wt,B3,MAON-wt-dil,G2,15,15_dil
20,wt,B4,MAON-wt-dil,H2,16,16_dil
20,wt,B5,MAON-wt-dil,A3,17,17_dil
20,wt,B6,MAON-wt-dil,B3,18,18_dil
20,wt,B7,MAON-wt-dil,C3,19,19_dil
20,wt,B8,MAON-wt-dil,D3,20,20_dil
20,wt,B9,MAON-wt-dil,E3,21,21_dil
20,wt,B10,MAON-wt-dil,F3,22,22_dil
20,wt,B11,MAON-wt-dil,G3,23,23_dil
20,wt,B12,MAON-wt-dil,H3,24,24_dil
20,wt,C1,MAON-wt-dil,A4,25,25_dil
20,wt,C2,MAON-wt-dil,B4,26,26_dil
20,wt,C3,MAON-wt-dil,C4,27,27_dil
20,wt,C4,MAON-wt-dil,D4,28,28_dil
20,wt,C5,MAON-wt-dil,E4,5-primer,5-primer_dil
