src_plate,src_well,src_name,total_volume,dest_plate
MAON-mut-bk,A1,1_1_p,12.0,
MAON-mut-bk,B1,2_1_p,12.0,
MAON-mut-bk,C1,3_1_p,12.0,
MAON-mut-bk,D1,1_2_p,9.0,
MAON-mut-bk,E1,2_2_p,9.0,
MAON-mut-bk,F1,3_2_p,9.0,
MAON-wt-bk,A1,1_wt_p,13.5,
MAON-wt-bk,B1,2_wt_p,13.5,
MAON-wt-bk,C1,3_wt_p,13.5,
MAON-wt-dil,D4,28_dil,34.5,
MAON-wt-dil,E4,5-primer_dil,34.5,
reagents,A2,mm,52.5,
reagents,B2,mm,52.5,
reagents,C2,mm,52.5,
reagents,D2,mm,52.5,
reagents,E2,mm,52.5,
reagents,F2,mm,52.5,
reagents,G2,mm,52.5,
reagents,H2,mm,35.0,
,,,,MAON-pcr2
