Volume,SourcePlateBarcode,SourcePlateWell,DestinationPlateBarcode,DestinationPlateWell,ComponentName,dest_name
9.0,MAON-pcr1,D1,MAON-mut-bk,A1,1_1_b,1_1_p
9.0,MAON-pcr1,F2,MAON-mut-bk,B1,2_11_b,2_1_p
15.0,MAON-pcr1,H3,MAON-mut-bk,C1,3_21_b,3_1_p
2.0,MAON-pcr1,F4,MAON-mut-bk,D1,1_1&2_b,1_2_p
2.0,MAON-pcr1,C10,MAON-mut-bk,E1,2_11&12_b,2_2_p
6.0,MAON-pcr1~2,H3,MAON-mut-bk,F1,3_21&22_b,3_2_p
9.0,MAON-pcr1,E1,MAON-mut-bk,A1,1_2_b,1_1_p
9.0,MAON-pcr1,G2,MAON-mut-bk,B1,2_12_b,2_1_p
15.0,MAON-pcr1,A4,MAON-mut-bk,C1,3_22_b,3_1_p
2.0,MAON-pcr1,G4,MAON-mut-bk,D1,1_1&3_b,1_2_p
2.0,MAON-pcr1,D10,MAON-mut-bk,E1,2_11&13_b,2_2_p
6.0,MAON-pcr1~2,A4,MAON-mut-bk,F1,3_21&23_b,3_2_p
9.0,MAON-pcr1,F1,MAON-mut-bk,A1,1_3_b,1_1_p
9.0,MAON-pcr1,H2,MAON-mut-bk,B1,2_13_b,2_1_p
15.0,MAON-pcr1,B4,MAON-mut-bk,C1,3_23_b,3_1_p
2.0,MAON-pcr1,H4,MAON-mut-bk,D1,1_1&4_b,1_2_p
2.0,MAON-pcr1,E10,MAON-mut-bk,E1,2_11&14_b,2_2_p
6.0,MAON-pcr1~2,B4,MAON-mut-bk,F1,3_21&24_b,3_2_p
9.0,MAON-pcr1,G1,MAON-mut-bk,A1,1_4_b,1_1_p
9.0,MAON-pcr1,A3,MAON-mut-bk,B1,2_14_b,2_1_p
15.0,MAON-pcr1,C4,MAON-mut-bk,C1,3_24_b,3_1_p
2.0,MAON-pcr1,A5,MAON-mut-bk,D1,1_1&5_b,1_2_p
2.0,MAON-pcr1,F10,MAON-mut-bk,E1,2_11&15_b,2_2_p
6.0,MAON-pcr1~2,C4,MAON-mut-bk,F1,3_21&25_b,3_2_p
9.0,MAON-pcr1,H1,MAON-mut-bk,A1,1_5_b,1_1_p
9.0,MAON-pcr1,B3,MAON-mut-bk,B1,2_15_b,2_1_p
15.0,MAON-pcr1,D4,MAON-mut-bk,C1,3_25_b,3_1_p
2.0,MAON-pcr1,B5,MAON-mut-bk,D1,1_1&6_b,1_2_p
2.0,MAON-pcr1,G10,MAON-mut-bk,E1,2_11&16_b,2_2_p
6.0,MAON-pcr1~2,D4,MAON-mut-bk,F1,3_21&26_b,3_2_p
9.0,MAON-pcr1,A2,MAON-mut-bk,A1,1_6_b,1_1_p
9.0,MAON-pcr1,C3,MAON-mut-bk,B1,2_16_b,2_1_p
15.0,MAON-pcr1,E4,MAON-mut-bk,C1,3_26_b,3_1_p
2.0,MAON-pcr1,C5,MAON-mut-bk,D1,1_1&7_b,1_2_p
2.0,MAON-pcr1,H10,MAON-mut-bk,E1,2_11&17_b,2_2_p
6.0,MAON-pcr1~2,E4,MAON-mut-bk,F1,3_22&23_b,3_2_p
9.0,MAON-pcr1,B2,MAON-mut-bk,A1,1_7_b,1_1_p
9.0,MAON-pcr1,D3,MAON-mut-bk,B1,2_17_b,2_1_p
2.0,MAON-pcr1,D5,MAON-mut-bk,D1,1_1&8_b,1_2_p
2.0,MAON-pcr1,A11,MAON-mut-bk,E1,2_11&18_b,2_2_p
