,id,id,id,id,id,id,id,id,id,id,id,id
,1,2,3,4,5,6,7,8,9,10,11,12
A,1_dil,9_dil,17_dil,25_dil,,,,,,,,
B,2_dil,10_dil,18_dil,26_dil,,,,,,,,
C,3_dil,11_dil,19_dil,27_dil,,,,,,,,
D,4_dil,12_dil,20_dil,28_dil,,,,,,,,
E,5_dil,13_dil,21_dil,5-primer_dil,,,,,,,,
F,6_dil,14_dil,22_dil,,,,,,,,,
G,7_dil,15_dil,23_dil,,,,,,,,,
H,8_dil,16_dil,24_dil,,,,,,,,,
